khipu_id,color_entropy,color_cord_ratio,unique_color_count,multi_color_ratio,primary_color_diversity,pendant_color_diversity,color_transitions
1000291,0.33422114621338295,1.0416666666666667,3.0,0.04,3.0,0.0,0.0
1000292,2.136161489945479,1.0046189376443417,19.0,0.21954022988505748,16.0,15.0,0.0
1000293,1.7696703935378992,1.0311526479750779,10.0,0.5468277945619335,6.0,10.0,0.0
1000295,1.9671041558198863,1.0,9.0,0.38095238095238093,8.0,7.0,0.0
1000296,1.343128429501132,1.0,6.0,0.02631578947368421,6.0,0.0,0.0
1000297,0.8333654410717204,1.0416666666666667,3.0,0.04,2.0,0.0,0.0
1000298,1.8785101991432118,1.0472727272727274,10.0,0.5451388888888888,5.0,10.0,0.0
1000299,2.00432355187661,0.91796875,12.0,0.3829787234042553,4.0,10.0,0.0
1000300,0.18613957809551446,0.9887640449438202,4.0,0.03409090909090909,1.0,4.0,0.0
1000301,0.4106688328866673,0.9904761904761905,3.0,0.08653846153846154,2.0,3.0,0.0
1000302,0.3895368598820391,1.01,3.0,0.0594059405940594,1.0,3.0,0.0
1000303,0.5908422462755826,1.0588235294117647,2.0,0.05555555555555555,2.0,1.0,0.0
1000304,0.9931170922011971,0.989010989010989,3.0,0.011111111111111112,2.0,2.0,0.0
1000305,0.8624922565436293,1.0133333333333334,3.0,0.05263157894736842,1.0,2.0,0.0
1000306,0.6881388137135884,1.0526315789473684,2.0,0.05,1.0,1.0,0.0
1000307,0.6920129648318738,1.05,2.0,0.0,1.0,1.0,0.0
1000309,0.7874805253590562,1.0238095238095237,3.0,0.023255813953488372,1.0,1.0,0.0
1000310,1.1614822151376498,1.0103092783505154,5.0,0.3979591836734694,5.0,3.0,0.0
1000312,0.9982861882777421,1.0112359550561798,3.0,0.03333333333333333,3.0,0.0,0.0
1000313,1.158966282197929,1.0105263157894737,4.0,0.2708333333333333,4.0,2.0,0.0
1000314,0.05992315462168969,1.0,3.0,0.16037735849056603,3.0,1.0,0.0
1000315,0.9695189321479225,1.0116279069767442,4.0,0.7701149425287356,4.0,1.0,0.0
1000316,1.1913996648776908,1.0873015873015872,9.0,0.06569343065693431,7.0,6.0,0.0
1000317,2.0089334811623822,1.0,9.0,0.43859649122807015,2.0,8.0,0.0
1000318,1.594999709425332,1.0909090909090908,7.0,0.4583333333333333,1.0,4.0,0.0
1000319,1.5751765904639274,1.0,8.0,0.6521739130434783,2.0,8.0,0.0
1000320,1.2880707807446143,1.0,6.0,0.05194805194805195,6.0,2.0,0.0
1000321,1.6539710156238114,1.0904645476772616,34.0,0.15022421524663676,27.0,20.0,0.0
1000322,1.5292201541433692,1.0,7.0,0.2,7.0,3.0,0.0
1000323,1.334485070019246,1.0,7.0,0.05045871559633028,4.0,6.0,0.0
1000324,1.2115548457978074,1.0153846153846153,4.0,0.5454545454545454,4.0,1.0,0.0
1000325,1.279977433276482,1.0227272727272727,5.0,0.26666666666666666,5.0,1.0,0.0
1000326,0.0,1.125,1.0,0.0,1.0,0.0,0.0
1000327,1.523964627467207,1.018181818181818,6.0,0.19642857142857142,5.0,4.0,0.0
1000328,1.6968950476761906,1.1363636363636365,7.0,0.32,7.0,0.0,0.0
1000329,1.7081476496393684,1.0460526315789473,10.0,0.17295597484276728,4.0,10.0,0.0
1000330,1.641163452493218,1.0263157894736843,6.0,0.23076923076923078,6.0,0.0,0.0
1000331,1.2360797404558075,1.1695906432748537,5.0,0.165,5.0,2.0,0.0
1000332,1.2769247852009595,1.0375,7.0,0.3373493975903614,6.0,5.0,0.0
1000333,1.3473645577096662,1.0279329608938548,5.0,0.20108695652173914,4.0,4.0,0.0
1000335,1.1326130565682502,1.0217391304347827,4.0,0.02127659574468085,4.0,0.0,0.0
1000336,1.4708930992385651,1.02803738317757,5.0,0.3,5.0,0.0,0.0
1000337,1.6188197772844604,1.1014492753623188,8.0,0.3815789473684211,8.0,5.0,0.0
1000338,1.8884155976469286,1.0769230769230769,8.0,0.42857142857142855,8.0,0.0,0.0
1000339,2.4322566192967208,1.0701754385964912,17.0,0.4918032786885246,4.0,14.0,0.0
1000340,1.7996429267953757,1.208695652173913,13.0,0.3776978417266187,7.0,12.0,0.0
1000342,1.1467830285201934,0.978494623655914,4.0,0.005494505494505495,4.0,0.0,0.0
1000344,1.3273402701897257,0.9467084639498433,5.0,0.6258278145695364,4.0,0.0,0.0
1000345,0.8873251989986526,1.0,3.0,0.6211180124223602,3.0,3.0,0.0
1000346,1.4864983615558414,1.0135135135135136,5.0,0.013333333333333334,5.0,0.0,0.0
1000347,1.6094379124341,1.1111111111111112,6.0,0.1,4.0,3.0,0.0
1000348,1.0114042647073518,1.5,3.0,0.3333333333333333,3.0,0.0,0.0
1000349,1.3296613488547582,1.2,4.0,0.0,3.0,1.0,0.0
1000350,1.0397207708399179,1.3333333333333333,3.0,0.25,3.0,0.0,0.0
1000351,0.8731622001126073,1.0133333333333334,4.0,0.8157894736842105,2.0,4.0,0.0
1000352,1.624644748786093,1.018181818181818,8.0,0.30357142857142855,2.0,8.0,0.0
1000353,2.0455289728552812,1.4838709677419355,12.0,0.391304347826087,8.0,8.0,0.0
1000354,0.0,1.25,1.0,0.0,1.0,0.0,0.0
1000355,1.3208883431493221,1.1428571428571428,4.0,0.125,4.0,0.0,0.0
1000356,1.0589358019699933,1.0357142857142858,4.0,0.10344827586206896,3.0,3.0,0.0
1000357,0.37677016125643675,1.1428571428571428,2.0,0.125,2.0,0.0,0.0
1000358,1.7139005983978295,1.0,7.0,0.2727272727272727,3.0,7.0,0.0
1000359,1.7902314335334442,1.0067114093959733,10.0,0.30666666666666664,10.0,0.0,0.0
1000361,1.3814566676566438,0.9972972972972973,7.0,0.26287262872628725,6.0,4.0,0.0
1000363,0.03717567946137977,1.0,2.0,0.0,1.0,0.0,0.0
1000365,0.12831870551552965,1.0142857142857142,2.0,0.028169014084507043,2.0,0.0,0.0
1000366,1.3745916441130814,1.0,5.0,0.041666666666666664,5.0,1.0,0.0
1000367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1000368,1.4938022850497514,1.0643564356435644,8.0,0.586046511627907,5.0,7.0,0.0
1000369,0.9900415399108947,0.9825581395348837,3.0,0.005917159763313609,3.0,1.0,0.0
1000371,1.289674856877837,1.0122699386503067,4.0,0.23636363636363636,4.0,2.0,0.0
1000374,0.05996015212476477,1.010989010989011,2.0,0.043478260869565216,2.0,0.0,0.0
1000375,1.1765837205936587,0.9183673469387755,4.0,0.03333333333333333,3.0,2.0,0.0
1000376,0.14469863101637398,0.9666666666666667,3.0,0.028735632183908046,2.0,0.0,0.0
1000377,0.6277052571971504,1.0,3.0,0.2222222222222222,2.0,1.0,0.0
1000378,1.6170531525095537,1.0714285714285714,6.0,0.26666666666666666,6.0,0.0,0.0
1000380,1.6061806632521551,1.0265957446808511,9.0,0.24352331606217617,8.0,9.0,0.0
1000381,1.801771432476183,1.0337078651685394,7.0,0.010869565217391304,7.0,0.0,0.0
1000382,0.9347214305070322,0.9210526315789473,5.0,0.17142857142857143,4.0,0.0,0.0
1000383,0.0,0.991304347826087,1.0,0.0,1.0,0.0,0.0
1000385,0.6790337949111431,0.9693877551020408,3.0,0.0,3.0,0.0,0.0
1000386,1.4827747807981326,1.3125,6.0,0.3333333333333333,6.0,5.0,0.0
1000387,1.2823855431161975,1.0,5.0,0.09090909090909091,2.0,3.0,0.0
1000388,0.6931471805599453,1.2,2.0,0.0,1.0,1.0,0.0
1000389,0.6365141682948128,1.125,2.0,0.1111111111111111,2.0,2.0,0.0
1000390,1.8346710646802895,1.0073529411764706,11.0,0.058394160583941604,11.0,2.0,0.0
1000392,1.1988493129136213,1.0909090909090908,4.0,0.08333333333333333,3.0,2.0,0.0
1000393,1.6629504665882109,1.0588235294117647,7.0,0.2222222222222222,7.0,0.0,0.0
1000395,1.0239287996389363,1.0666666666666667,3.0,0.1875,3.0,0.0,0.0
1000396,1.8878836468994216,0.995475113122172,10.0,0.20454545454545456,7.0,10.0,0.0
1000397,1.3516811946858949,1.04,4.0,0.19230769230769232,4.0,3.0,0.0
1000398,1.4298659347314904,1.0285714285714285,6.0,0.16666666666666666,5.0,2.0,0.0
1000399,0.8515842539195699,1.05,3.0,0.047619047619047616,2.0,0.0,0.0
1000400,1.1648213767244648,1.0169491525423728,4.0,0.5,4.0,3.0,0.0
1000401,1.5210977782513324,1.0225563909774436,8.0,0.5808823529411765,6.0,7.0,0.0
1000402,1.1949065914130628,1.0303030303030303,5.0,0.5294117647058824,5.0,3.0,0.0
1000403,1.2032167265814253,1.0151515151515151,5.0,0.5074626865671642,5.0,3.0,0.0
1000404,1.194355901968133,1.05,4.0,0.38095238095238093,4.0,3.0,0.0
1000405,1.2614633441368988,1.04,4.0,0.2692307692307692,4.0,4.0,0.0
1000406,1.6980923081611117,1.056,10.0,0.5757575757575758,6.0,10.0,0.0
1000407,1.7904359053364358,1.0288461538461537,7.0,0.3364485981308411,7.0,1.0,0.0
1000408,0.5442837329694393,1.0212765957446808,3.0,0.0,2.0,2.0,0.0
1000409,1.2854716744674484,1.0303030303030303,4.0,0.5882352941176471,3.0,2.0,0.0
1000410,0.0,1.0714285714285714,1.0,0.0,1.0,1.0,0.0
1000411,0.410116318288409,1.4,2.0,0.14285714285714285,1.0,0.0,0.0
