khipu_id,parallel_sections,max_parallel_width,serial_chain_length,parallelization_ratio,parallel_fraction,n_cords
1000255,1,30,3,10.0,0.967741935483871,31
1000256,1,14,2,7.0,1.0,14
1000257,1,6,3,2.0,0.8571428571428571,7
1000258,1,44,2,22.0,1.0,44
1000259,1,111,2,55.5,1.0,111
1000260,2,32,3,10.666666666666666,1.0,35
1000261,2,32,3,10.666666666666666,1.0,35
1000262,1,73,2,36.5,1.0,73
1000263,2,71,3,23.666666666666668,1.0,74
1000264,2,112,3,37.333333333333336,1.0,114
1000265,2,49,3,16.333333333333332,1.0,55
1000266,2,36,3,12.0,1.0,54
1000267,1,61,2,30.5,1.0,61
1000268,1,72,2,36.0,1.0,72
1000269,2,70,3,23.333333333333332,1.0,105
1000270,2,54,3,18.0,1.0,102
1000271,2,90,3,30.0,1.0,125
1000272,1,60,3,20.0,0.9836065573770492,61
1000273,2,306,3,102.0,1.0,371
1000274,2,108,3,36.0,1.0,131
1000275,2,206,3,68.66666666666667,1.0,288
1000276,1,7,3,2.3333333333333335,0.875,8
1000277,1,39,2,19.5,1.0,39
1000279,6,220,7,31.428571428571427,1.0,588
1000280,2,152,3,50.666666666666664,1.0,273
1000283,2,22,3,7.333333333333333,1.0,43
1000285,2,80,4,20.0,0.9936305732484076,157
1000287,2,219,3,73.0,1.0,260
1000288,2,13,3,4.333333333333333,1.0,16
1000289,1,11,3,3.6666666666666665,0.9166666666666666,12
1000290,2,14,3,4.666666666666667,1.0,23
1000291,1,24,2,12.0,1.0,24
1000292,3,505,5,101.0,0.9988452655889145,866
1000293,4,145,4,36.25,1.0,321
1000295,2,28,3,9.333333333333334,1.0,42
1000296,1,38,2,19.0,1.0,38
1000297,1,24,2,12.0,1.0,24
1000298,4,156,5,31.2,1.0,275
1000299,4,143,5,28.6,1.0,256
1000300,3,56,4,14.0,1.0,89
1000301,3,66,4,16.5,1.0,105
1000302,3,59,4,14.75,1.0,100
1000303,2,14,3,4.666666666666667,1.0,17
1000304,2,76,3,25.333333333333332,1.0,91
1000305,2,39,4,9.75,0.9866666666666667,75
1000306,2,10,3,3.3333333333333335,1.0,19
1000307,2,10,3,3.3333333333333335,1.0,20
1000309,2,21,3,7.0,1.0,42
1000310,2,89,3,29.666666666666668,1.0,97
1000312,1,89,2,44.5,1.0,89
1000313,2,87,3,29.0,1.0,95
1000314,3,146,5,29.2,0.9952830188679245,212
1000315,3,66,3,22.0,1.0,86
1000316,3,59,4,14.75,1.0,126
1000317,2,48,3,16.0,1.0,57
1000318,3,13,4,3.25,1.0,22
1000319,2,16,4,4.0,0.9565217391304348,23
1000320,3,69,5,13.8,0.987012987012987,77
1000321,3,956,4,239.0,1.0,1227
1000322,2,23,3,7.666666666666667,1.0,40
1000323,3,144,4,36.0,1.0,218
1000324,2,61,3,20.333333333333332,1.0,65
1000325,1,43,3,14.333333333333334,0.9772727272727273,44
1000326,1,8,2,4.0,1.0,8
1000327,2,29,4,7.25,0.9818181818181818,55
1000328,1,22,2,11.0,1.0,22
1000329,3,173,4,43.25,1.0,304
1000330,1,38,2,19.0,1.0,38
1000331,2,167,3,55.666666666666664,1.0,171
1000332,3,123,3,41.0,1.0,160
1000333,2,108,3,36.0,1.0,179
1000335,1,46,2,23.0,1.0,46
1000336,1,107,2,53.5,1.0,107
1000337,3,34,5,6.8,0.9855072463768116,69
1000338,1,26,2,13.0,1.0,26
1000339,4,33,5,6.6,1.0,57
1000340,3,120,5,24.0,0.9956521739130435,230
1000342,1,186,2,93.0,1.0,186
1000344,1,319,2,159.5,1.0,319
1000345,3,87,4,21.75,0.9875776397515528,161
1000346,1,74,2,37.0,1.0,74
1000347,2,5,3,1.6666666666666667,1.0,9
1000348,1,4,2,2.0,1.0,4
1000349,1,4,3,1.3333333333333333,0.8,5
1000350,1,3,2,1.5,1.0,3
1000351,2,63,3,21.0,1.0,75
1000352,3,37,4,9.25,1.0,55
1000353,2,16,4,4.0,0.967741935483871,31
1000354,1,4,2,2.0,1.0,4
1000355,1,7,2,3.5,1.0,7
1000356,2,25,3,8.333333333333334,1.0,28
1000357,1,7,2,3.5,1.0,7
1000358,2,22,4,5.5,0.9696969696969697,33
1000359,1,149,2,74.5,1.0,149
1000361,2,313,3,104.33333333333333,1.0,370
1000363,1,164,2,82.0,1.0,164
1000365,1,70,2,35.0,1.0,70
1000366,2,93,3,31.0,1.0,96
1000367,3,28,0,0.0,1.0,60
1000368,4,252,5,50.4,1.0,404
1000369,2,147,3,49.0,0.9941860465116279,172
1000371,4,140,3,46.666666666666664,1.0,163
1000374,1,91,2,45.5,1.0,91
1000375,2,93,3,31.0,1.0,98
1000376,1,180,2,90.0,1.0,180
1000377,2,41,3,13.666666666666666,1.0,45
1000378,1,14,2,7.0,1.0,14
1000380,3,87,5,17.4,0.9946808510638298,188
1000381,1,89,2,44.5,1.0,89
1000382,1,76,2,38.0,1.0,76
1000383,1,115,2,57.5,1.0,115
1000385,1,98,2,49.0,1.0,98
1000386,2,22,3,7.333333333333333,1.0,32
1000387,3,21,4,5.25,1.0,33
1000388,2,2,4,0.5,0.8,5
1000389,2,5,3,1.6666666666666667,1.0,8
1000390,2,133,3,44.333333333333336,1.0,136
1000392,2,8,3,2.6666666666666665,1.0,11
1000393,1,17,2,8.5,1.0,17
1000395,1,15,2,7.5,1.0,15
1000396,2,168,4,42.0,0.995475113122172,221
1000397,2,18,3,6.0,1.0,25
1000398,2,30,3,10.0,1.0,35
1000399,1,20,2,10.0,1.0,20
1000400,2,43,4,10.75,0.9830508474576272,59
1000401,3,85,4,21.25,1.0,133
1000402,2,24,3,8.0,1.0,33
1000403,3,51,4,12.75,1.0,66
1000404,2,12,3,4.0,1.0,20
1000405,2,17,3,5.666666666666667,1.0,25
1000406,3,75,4,18.75,1.0,125
1000407,2,102,3,34.0,1.0,104
1000408,2,38,3,12.666666666666666,1.0,47
1000409,3,24,3,8.0,1.0,33
1000410,2,9,3,3.0,1.0,14
1000411,1,5,2,2.5,1.0,5
1000412,1,7,2,3.5,1.0,7
1000413,3,148,4,37.0,1.0,266
1000414,2,7,3,2.3333333333333335,1.0,11
1000415,2,32,3,10.666666666666666,1.0,58
1000416,1,10,2,5.0,1.0,10
1000417,1,24,3,8.0,0.96,25
1000418,4,46,5,9.2,1.0,91
1000419,1,96,2,48.0,1.0,96
1000420,1,14,2,7.0,1.0,14
1000421,1,30,3,10.0,0.967741935483871,31
1000422,2,80,3,26.666666666666668,1.0,96
1000423,3,32,5,6.4,0.9803921568627451,51
1000424,2,21,3,7.0,1.0,27
1000425,2,8,3,2.6666666666666665,1.0,13
1000426,2,24,3,8.0,1.0,27
1000427,2,12,4,3.0,0.9444444444444444,18
1000428,2,11,3,3.6666666666666665,1.0,20
1000429,1,27,2,13.5,1.0,27
1000430,2,28,3,9.333333333333334,1.0,43
1000431,2,51,3,17.0,1.0,57
