khipu_id,structural_cluster,predicted_function,confidence,administrative_type,cord_count,hierarchy_depth,summation_match_rate,numeric_coverage,unique_color_count,color_entropy
1000075,5,Accounting,1.0,Multi-Level Aggregation,12,2,0.0,0.75,3.0,1.072043343575071
1000076,5,Accounting,1.0,Multi-Level Aggregation,37,2,0.0,0.972972972972973,4.0,1.2374875380313386
1000077,1,Accounting,0.9512036317390324,Aggregated Summary,282,2,0.0,0.0744680851063829,3.0,1.0290694963772378
1000078,2,Accounting,1.0,Standard Administrative Record,10,2,0.0,0.9,1.0,0.0
1000079,6,Accounting,1.0,Exceptional/Anomalous,95,2,0.125,0.7368421052631579,6.0,1.6966669266423806
1000080,6,Accounting,1.0,Exceptional/Anomalous,36,1,0.0,0.8333333333333334,3.0,0.7062573359732531
1000081,6,Accounting,1.0,Exceptional/Anomalous,29,2,0.0,0.9655172413793104,3.0,1.0588032571034944
1000082,6,Accounting,1.0,Exceptional/Anomalous,17,1,0.0,0.8823529411764706,2.0,0.22371807606583377
1000083,0,Accounting,1.0,Compact Operational Record,158,3,0.0857142857142857,0.8607594936708861,6.0,1.5356849075571957
1000084,2,Accounting,1.0,Standard Administrative Record,7,1,0.0,0.7142857142857143,2.0,0.410116318288409
1000085,6,Accounting,1.0,Exceptional/Anomalous,290,2,0.0,0.4827586206896552,7.0,1.7858024638104775
1000086,6,Accounting,1.0,Exceptional/Anomalous,15,1,0.0,0.9333333333333332,4.0,1.3397942802855758
1000087,4,Accounting,0.9826187136846323,Lateral Category Tracking,29,2,0.5833333333333334,0.896551724137931,5.0,1.3687495515876047
1000088,1,Non-Accounting,0.891547570293151,Aggregated Summary,196,1,0.0,0.0,1.0,0.0
1000089,3,Accounting,1.0,Local Operational Record,288,2,0.0263157894736842,0.7118055555555556,6.0,1.1579765926862873
1000090,6,Accounting,1.0,Exceptional/Anomalous,16,2,0.0,0.625,4.0,1.18030455699462
1000091,6,Accounting,1.0,Exceptional/Anomalous,50,2,0.0,0.74,7.0,1.745448858139594
1000092,6,Accounting,1.0,Exceptional/Anomalous,14,1,0.0,0.5714285714285714,2.0,0.6931471805599453
