kfg_id,cluster_label,geo_zone,n_cords,n_unique_colors
KH0555,Simple,Central Coast,31,5
KH0556,Simple,Central Coast,7,7
KH0557,Simple,Central Coast,55,11
KH0558,Simple,Central Coast,17,8
KH0559,Simple,Central Coast,77,14
KH0560,Simple,Central Coast,10,4
KH0561,Simple,Central Coast,67,11
KH0562,Simple,Central Coast,110,7
KH0563,Simple,Central Coast,48,11
KH0564,Simple,Central Coast,15,1
KH0565,Simple,Ica & Paracas,29,5
KH0566,Simple,Ica & Paracas,86,16
KH0567,Simple,Central Coast,32,11
KH0568,Complex,,225,32
KH0569,Simple,Nazca & Far South,101,7
KH0570,Simple,,24,3
KH0571,Simple,,55,29
KH0572,Simple,,11,2
KH0573,Simple,,39,4
KH0574,Simple,Arica & N. Chile,80,11
KH0575,Simple,,66,5
KH0576,Simple,,86,5
KH0577,Simple,Central Coast,34,20
KH0578,Simple,,9,3
KH0579,Simple,,7,3
KH0580,Simple,Central Coast,29,5
KH0581,Simple,,32,5
KH0582,Simple,,34,3
KH0583,Simple,,46,3
KH0584,Simple,,54,11
KH0585,Simple,,34,3
KH0586,Complex,,189,10
KH0587,Simple,,180,8
KH0588,Simple,,41,3
KH0589,Simple,,33,6
KH0590,Simple,,91,7
KH0591,Simple,,45,10
KH0592,Simple,,65,6
KH0593,Simple,,82,6
KH0594,Simple,,41,10
KH0595,Complex,,157,6
KH0596,Simple,,62,23
KH0597,Complex,,207,8
KH0598,Simple,,50,7
KH0599,Complex,,150,31
KH0600,Complex,,282,10
KH0601,Complex,,367,11
KH0602,Complex,,249,10
KH0603,Complex,,153,21
KH0604,Simple,,90,8
KH0604A,Simple,,43,8
KH0604B,Simple,,47,5
KH0605,Simple,,52,10
KH0605A,Simple,,24,7
KH0605B,Simple,,15,8
KH0605C,Simple,,15,7
KH0606,Simple,,39,5
KH0606A,Simple,,25,7
KH0606B,Simple,,11,4
KH0606C,Simple,,8,2
KH0607,Complex,,211,12
KH0607A,Simple,,80,7
KH0607B,Simple,,43,6
KH0607C,Simple,,73,11
KH0607D,Simple,,23,3
KH0608,Simple,Cañete–Pisco,36,9
KH0609,Simple,Cañete–Pisco,4,4
KH0610,Simple,Cañete–Pisco,8,2
KH0611,Simple,Cañete–Pisco,32,16
KH0612,Complex,Cañete–Pisco,193,26
KH0613,Simple,Cañete–Pisco,13,2
KH0614,Simple,Cañete–Pisco,6,5
KH0615,Simple,Cañete–Pisco,6,3
KH0616,Simple,Cañete–Pisco,95,31
KH0617,Complex,Cañete–Pisco,374,12
KH0618,Simple,Cañete–Pisco,126,37
KH0619,Simple,Cañete–Pisco,30,3
KH0620,Simple,Cañete–Pisco,78,42
KH0621,Simple,Cañete–Pisco,60,8
KH0622,Simple,Cañete–Pisco,10,1
KH0623,Simple,Cañete–Pisco,9,2
KH0624,Simple,Cañete–Pisco,5,1
KH0625,Simple,Cañete–Pisco,13,7
KH0626,Simple,Cañete–Pisco,6,2
KH0627,Simple,Cañete–Pisco,4,3
KH0628,Simple,Cañete–Pisco,11,5
KH0629,Simple,Cañete–Pisco,24,4
KH0630,Simple,Cañete–Pisco,74,13
KH0631,Simple,,22,4
KH0632,Simple,,14,6
KH0633,Simple,,67,12
KH0634,Simple,,42,8
KH0635,Complex,,166,10
KH0653,Simple,Cañete–Pisco,16,8
KH0654,Simple,Cañete–Pisco,10,2
KH0655,Simple,Cañete–Pisco,2,2
KH0656,Simple,Cañete–Pisco,12,1
