kfg_id,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg,n_pp,n_ip,n_cp,n_pattern_types,n_cords,n_pendants,n_subsidiaries,n_groups,numeric_coverage,frac_broken,n_colors,region,creation_date,provenance_display,geo_zone
KH0091,0,1,0,0,0,0,0,0,0,0,5,0,1,27,0,0,7,0.8518518518518519,0.0,3,"South Coast, Peru",10/09/2003,Nazca (Hda. Copara),Nazca & Far South
KH0092,0,1,0,0,0,0,0,0,0,0,19,0,1,74,0,0,17,0.5675675675675675,0.013513513513513514,5,Unknown,06/02/2006,Nazca / Ancon,
KH0093,1,0,0,0,0,0,0,0,1,8,0,0,2,40,24,0,4,0.95,0.0,7,Unknown,02/17/2004,Nazca / Ancon,
KH0094,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,5,1.0,0.625,2,Unknown,02/20/2004,Unknown,
KH0095,0,0,0,0,0,0,0,0,0,0,0,0,0,20,14,0,3,0.3,0.3,3,Unknown,02/24/2004,Unknown,
KH0096,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1.0,0.0,1,Unknown,10/07/2003,Unknown,
KH0097,1,1,1,0,1,0,0,0,0,2215,140,74,4,319,0,0,26,0.8087774294670846,0.16300940438871472,7,Unknown,05/30/2006,Unknown,
KH0098,1,0,0,0,0,0,0,0,1,1,0,0,2,45,3,0,5,0.1111111111111111,0.17777777777777778,4,Unknown,03/10/2004,Unknown,
KH0100,1,0,0,1,0,0,0,0,0,42,0,0,2,97,8,0,2,0.9896907216494846,0.010309278350515464,2,Unknown,12/05/2005,Peru (unknown),
KH0101,1,1,1,0,0,0,0,1,1,168,44,32,5,95,8,0,25,0.9578947368421052,0.0,4,Unknown,12/15/2005,Huacho / Pachacamac,Central Coast
KH0102,0,0,0,0,0,0,0,0,1,0,0,0,1,35,8,0,10,0.34285714285714286,0.02857142857142857,2,Unknown,03/12/2004,Peru (unknown),
KH0103,1,1,1,1,0,0,0,0,0,12,2,8,4,58,2,0,8,1.0,0.08620689655172414,1,Unknown,03/12/2004,Peru (unknown),
KH0104,1,1,1,0,0,1,0,0,1,212,32,39,5,89,0,0,21,0.8764044943820225,0.2696629213483146,4,Unknown,12/13/2005,Unknown,
KH0105,1,1,1,0,0,0,0,0,1,78,15,17,4,56,0,0,10,0.8928571428571429,0.125,2,Unknown,03/16/2004,Peru (unknown),
KH0106,1,1,1,0,0,1,0,0,0,52,27,19,4,70,0,0,10,0.8142857142857143,0.17142857142857143,2,Unknown,02/09/1970,Peru (unknown),
KH0107,0,0,0,0,0,0,0,0,0,0,0,0,0,51,36,9,1,0.7450980392156863,0.13725490196078433,3,Unknown,02/24/2004,Peru (unknown),
KH0108,1,1,1,1,0,0,1,1,0,558,6,42,6,212,63,3,10,0.9245283018867925,0.018867924528301886,4,Unknown,02/06/2006,Pachacamac,Central Coast
KH0109,1,1,1,0,1,0,0,0,0,160,5,8,4,86,9,0,22,0.6976744186046512,0.29069767441860467,2,Unknown,02/08/2006,Pachacamac,Central Coast
KH0110,0,1,0,0,0,0,0,0,0,0,3,0,1,64,0,0,5,0.734375,0.015625,3,Unknown,11/11/2011,Pachacamac,Central Coast
KH0111,1,1,1,1,0,0,1,0,0,119,10,4,5,101,21,0,15,0.5643564356435643,0.04950495049504951,4,Unknown,11/11/2011,Between Ica and Pisco,Ica & Paracas
