kfg_id,n_cords,n_pendants,n_leaves,leaf_ratio,depth,mean_branching,branching_cv,branching_entropy,widest_level,balance_score,subtree_size_cv,beh_label,typology_label,geo_zone
KH0265,38,38,38,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0266,8,7,7,0.875,1,0.14285714285714285,2.4494897427831788,0.5916727785823274,0,0.6938137821521027,0.30618621784789735,B6,T1,Ica & Paracas
KH0267,188,87,120,0.6382978723404256,3,0.9655172413793104,0.9863007227241893,1.8141301424895537,0,0.39287093304764775,0.6071290669523522,B4,T2,
KH0268,22,7,15,0.6818181818181818,2,1.8571428571428572,0.44853476114194607,1.1488348542809168,1,0.5687803190679482,0.43121968093205176,B6,T1,Arica & N. Chile
KH0269,171,167,170,0.9941520467836257,1,0.023952095808383235,12.884098726725128,0.05282677388968398,0,0.6986175736438567,0.3013824263561434,B3,T1,
KH0270,39,39,39,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,
KH0271,91,91,91,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Southern Highlands
KH0272,49,33,39,0.7959183673469388,1,0.48484848484848486,1.6932771480180084,1.297376984093359,0,0.447093176157385,0.552906823842615,B3,T1,Nazca & Far South
KH0273,43,43,43,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0274,25,25,25,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0275,160,125,137,0.85625,1,0.28,2.4578072191550357,0.94338121034483,0,0.46235467080983583,0.5376453291901642,B2,T1,
KH0276,107,77,92,0.8598130841121495,2,0.3246753246753247,2.6003076741032016,0.8052326140443206,0,0.23810277674060487,0.7618972232593951,B4,T1,Central Coast
KH0277,47,47,47,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B6,T1,Central Coast
KH0278,61,46,51,0.8360655737704918,2,0.2608695652173913,3.5237290853109946,0.7052910530145211,0,0.0,1.0074967582170133,B4,T1,Central Coast
KH0279,327,239,276,0.8440366972477065,3,0.3263598326359833,2.618525012538285,0.9728606245346174,0,0.30904443255688063,0.6909555674431194,B4,T2,
KH0280,164,164,164,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0281,98,93,93,0.9489795918367347,1,0.053763440860215055,4.195235392680606,0.30217361847879504,0,0.7859573779244589,0.21404262207554114,B3,T1,
KH0282,98,98,98,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0283,55,49,51,0.9272727272727272,1,0.12244897959183673,3.551212625443753,0.48953863320020075,0,0.6125949863152269,0.38740501368477304,B6,T1,
KH0284,54,36,36,0.6666666666666666,1,0.5,1.0,1.0,0,0.6666666666666667,0.3333333333333333,B3,T1,
KH0285,61,61,61,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0286,72,72,72,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0287,105,70,70,0.6666666666666666,1,0.5,1.0,1.0,0,0.6666666666666667,0.3333333333333333,B3,T1,
KH0288,115,115,115,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0289,180,180,180,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0290,42,28,40,0.9523809523809523,1,0.5,3.946064947695181,0.442660898069447,0,0.0,1.3153549825650603,B3,T1,
KH0291,38,38,38,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0292,24,24,24,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0293,42,21,21,0.5,1,1.0,0.0,0.0,0,1.0,0.0,B3,T1,Ica & Paracas
KH0294,275,58,207,0.7527272727272727,3,2.689655172413793,0.6911195883047977,2.5263408520119928,1,0.3439915340195552,0.6560084659804448,B4,T2,Arica & N. Chile
KH0295,256,48,192,0.75,3,2.9791666666666665,1.6322193650819266,2.702572732832805,1,0.0,1.2303137303143457,B4,T2,
KH0296,136,133,133,0.9779411764705882,1,0.022556390977443608,6.582805886043833,0.15556286259996746,0,0.854791046631386,0.14520895336861397,B3,T1,
KH0297,114,112,112,0.9824561403508771,1,0.017857142857142856,7.416198487095665,0.1292337748458849,0,0.8698912546123567,0.13010874538764325,B2,T1,Central Coast
KH0298,41,41,41,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Central Coast
KH0299,23,22,22,0.9565217391304348,1,0.045454545454545456,4.582575694955841,0.26676498780302604,0,0.8007575784801808,0.19924242151981916,B6,T1,Central Coast
KH0300,111,111,111,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,
KH0301,74,71,71,0.9594594594594594,1,0.04225352112676056,4.760952285695232,0.25253077151613923,0,0.8069884208501933,0.1930115791498067,B2,T1,Central Coast
KH0302,6,6,6,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,Central Coast
KH0303,35,32,33,0.9428571428571428,1,0.09375,4.096068575814836,0.3997900666170139,0,0.6489084077872997,0.3510915922127002,B3,T1,Central Coast
KH0304,35,32,33,0.9428571428571428,1,0.09375,4.096068575814836,0.3997900666170139,0,0.6489084077872997,0.3510915922127002,B3,T1,Central Coast
KH0305,73,73,73,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0306,33,32,32,0.9696969696969697,1,0.03125,5.5677643628300215,0.20062232431271465,0,0.8312798677930296,0.16872013220697035,B3,T1,Central Coast
KH0307,26,26,26,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B1,T1,Central Coast
KH0308,26,26,26,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B1,T1,Central Coast
KH0309,66,61,62,0.9393939393939394,1,0.08196721311475409,4.009987531152684,0.4023829390456118,0,0.6962130658217663,0.30378693417823366,B3,T1,Central Coast
KH0310,74,74,74,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B2,T1,
KH0311,79,66,66,0.8354430379746836,1,0.19696969696969696,2.0191391920625676,0.7158259310602147,0,0.667736588647932,0.33226341135206805,B2,T1,Central Coast
KH0312,13,13,13,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Central Coast
KH0313,24,24,24,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,Central Coast
KH0314,25,12,21,0.84,1,1.0833333333333333,2.07977012839935,1.4182958340544896,1,0.0,1.081480466767662,B3,T1,
KH0315,11,11,11,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0316,31,30,30,0.967741935483871,1,0.03333333333333333,5.385164807134504,0.21084230031853216,0,0.8262850062214677,0.17371499377853233,B3,T1,Central Coast
KH0317,14,14,14,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B5,T1,Central Coast
KH0318,7,6,6,0.8571428571428571,1,0.16666666666666666,2.2360679774997902,0.6500224216483541,0,0.6805617175000301,0.31943828249996986,B5,T1,Central Coast
KH0319,44,44,44,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B1,T1,Central Coast
KH0320,23,6,16,0.6956521739130435,2,2.6666666666666665,0.2795084971874737,0.6500224216483541,1,0.9027796531521831,0.09722034684781693,B6,T1,Arica & N. Chile
KH0321,273,152,197,0.7216117216117216,1,0.7960526315789473,1.275380940720033,1.7503645831503434,0,0.4347212680325129,0.5652787319674871,B3,T1,
KH0322,107,107,107,1.0,0,0.0,0.0,0.0,0,1.0,0.0,B3,T1,
KH0323,370,306,312,0.8432432432432433,1,0.20915032679738563,2.1970772488695065,0.7926150679612968,0,0.619965016411761,0.38003498358823895,B2,T2,North Peru Coast
KH0324,102,54,75,0.7352941176470589,1,0.8888888888888888,1.1592023119369634,1.7530523421103017,0,0.4544930296767231,0.5455069703232769,B3,T1,North Peru Coast
KH0325,288,206,226,0.7847222222222222,1,0.39805825242718446,1.7092323751655594,1.1930032167293432,0,0.5133435598486948,0.4866564401513051,B3,T2,North Peru Coast
KH0326,131,108,113,0.8625954198473282,1,0.21296296296296297,2.395253655798142,0.7920899514232673,0,0.579459281806433,0.4205407181935669,B3,T1,North Peru Coast
