khipu_id,num_nodes,num_edges,avg_degree,max_degree,density,depth,width,avg_branching,num_roots,num_leaves,has_numeric,has_color,avg_numeric_value,std_numeric_value
1000124,113,112,1.9823008849557522,112,0.008849557522123894,1,112,112.0,1,112,0.9380530973451328,0.9911504424778761,11312699.198113207,29346201.220907725
1000125,42,41,1.9523809523809523,27,0.023809523809523808,3,27,3.1538461538461537,1,29,0.8809523809523809,0.9761904761904762,3974853.2972972975,18109262.423806142
1000126,48,47,1.9583333333333333,23,0.020833333333333332,3,23,2.473684210526316,1,29,0.875,0.9791666666666666,4.190476190476191,3.4999190142881824
1000127,119,118,1.9831932773109244,80,0.008403361344537815,2,80,4.916666666666667,1,95,0.8907563025210085,0.9915966386554622,6060441.103773585,23539023.055250566
1000128,41,40,1.951219512195122,21,0.024390243902439025,2,21,2.5,1,25,0.9512195121951219,0.975609756097561,345.6666666666667,1763.8940507361042
1000129,4,3,1.5,3,0.25,1,3,3.0,1,3,0.75,0.75,9.333333333333334,2.6246692913372702
1000130,10,9,1.8,6,0.1,2,6,2.25,1,6,0.8,0.9,4.25,2.277608394786075
1000131,66,65,1.9696969696969697,65,0.015151515151515152,1,65,65.0,1,65,0.9242424242424242,0.9848484848484849,14731.442622950819,32230.60039904273
1000132,35,34,1.9428571428571428,18,0.02857142857142857,2,18,2.0,1,18,0.7714285714285715,0.9714285714285714,43.55555555555556,209.9349693548568
1000133,19,18,1.894736842105263,18,0.05263157894736842,1,18,18.0,1,18,0.631578947368421,0.9473684210526315,92596.08333333333,307095.6110691094
1000134,9,8,1.7777777777777777,8,0.1111111111111111,1,8,8.0,1,8,0.8888888888888888,0.8888888888888888,2782.75,4808.317396709581
1000135,17,16,1.8823529411764706,16,0.058823529411764705,1,16,16.0,1,16,0.8823529411764706,0.8823529411764706,4.866666666666666,2.679966832298904
1000136,6,5,1.6666666666666667,5,0.16666666666666666,1,5,5.0,1,5,0.6666666666666666,0.8333333333333334,55555562.5,55555550.00000014
1000137,28,27,1.9285714285714286,26,0.03571428571428571,2,26,13.5,1,26,0.8214285714285714,0.9642857142857143,5.0,2.7346409032202414
1000138,34,33,1.9411764705882353,22,0.029411764705882353,2,22,3.0,1,23,0.9705882352941176,0.9705882352941176,3368093.3333333335,19046454.869071934
1000139,22,21,1.9090909090909092,19,0.045454545454545456,2,19,7.0,1,19,0.6818181818181818,0.9545454545454546,7408901.066666666,27715581.937145095
1000140,363,362,1.9944903581267217,222,0.0027548209366391185,3,222,4.022222222222222,1,273,0.5674931129476584,0.9972451790633609,753.1067961165048,7823.982863776752
1000141,10,9,1.8,9,0.1,1,9,9.0,1,9,0.8,0.9,15444468.125,36335490.533964336
1000142,19,18,1.894736842105263,18,0.05263157894736842,1,18,18.0,1,18,0.8947368421052632,0.9473684210526315,91597.5294117647,259107.1594413758
1000143,31,30,1.935483870967742,30,0.03225806451612903,1,30,30.0,1,30,0.9354838709677419,0.967741935483871,2.896551724137931,1.3220889319090217
1000144,126,125,1.9841269841269842,101,0.007936507936507936,3,101,5.0,1,101,0.6428571428571429,0.9920634920634921,1848489.2098765431,12396489.379849533
1000145,25,24,1.92,23,0.04,2,23,12.0,1,23,0.96,0.96,62.125,220.88294647090044
1000146,60,59,1.9666666666666666,32,0.016666666666666666,4,32,2.269230769230769,1,34,0.95,0.9833333333333333,6677519.771929825,24776833.11416122
1000147,339,338,1.9941002949852507,224,0.0029498525073746312,4,224,3.1296296296296298,1,231,0.7905604719764012,0.9970501474926253,2801710.98880597,16473475.254384624
1000148,304,303,1.993421052631579,219,0.003289473684210526,3,219,5.9411764705882355,1,253,0.5526315789473685,0.9967105263157895,1557486.261904762,12115621.240644723
1000149,16,15,1.875,15,0.0625,1,15,15.0,1,15,0.9375,0.9375,765.0666666666667,2765.280973467655
1000150,31,30,1.935483870967742,29,0.03225806451612903,2,29,15.0,1,29,0.9032258064516129,0.967741935483871,7963.821428571428,28607.92880985166
1000151,29,28,1.9310344827586208,27,0.034482758620689655,2,27,14.0,1,27,0.7586206896551724,0.9655172413793104,627561.3181818182,2311639.6371443286
1000152,36,35,1.9444444444444444,27,0.027777777777777776,2,27,5.0,1,29,0.8611111111111112,0.9722222222222222,7968067.258064516,27222549.666006573
1000154,6,5,1.6666666666666667,5,0.16666666666666666,1,5,5.0,1,5,0.8333333333333334,0.8333333333333334,3.6,3.7202150475476548
1000155,2,1,1.0,1,0.5,1,1,1.0,1,1,0.5,0.5,1.1111111111111111e+21,0.0
1000156,8,7,1.75,4,0.125,2,4,1.75,1,4,0.625,0.875,2224670.8,4443224.065650005
1000157,10,9,1.8,9,0.1,1,9,9.0,1,9,0.9,0.9,123462.11111111111,349186.6134008018
1000158,31,30,1.935483870967742,23,0.03225806451612903,3,23,4.285714285714286,1,24,0.9032258064516129,0.967741935483871,4053.6428571428573,20606.131825284927
