kfg_id,provenance_display,n_cords,n_pattern_types,cluster,nn_top_zone,nn_top_weight,nn_zones,nn_dists
KH0221,Unknown,37,2,0,Ica & Paracas,0.622,Ica & Paracas|Ica & Paracas|Nazca & Far South|Ica & Paracas|Central Coast,1.000|1.008|1.121|1.165|1.186
KH0224,Unknown,32,1,0,Central Coast,0.725,Central Coast|Central Coast|Central Coast|Arica & N. Chile|Chachapoyas,0.122|0.156|0.213|0.263|0.286
KH0225,Unknown,253,6,1,Chachapoyas,0.417,Central Coast|Chachapoyas|Chachapoyas|Nazca & Far South|Central Coast,0.980|1.078|1.358|1.494|1.579
KH0226,Unknown,28,1,0,Ica & Paracas,0.794,Ica & Paracas|Ica & Paracas|Nazca & Far South|Ica & Paracas|Ica & Paracas,0.137|0.158|0.199|0.331|0.360
KH0227,Unknown,14,0,0,Ica & Paracas,0.598,Ica & Paracas|Central Coast|Ica & Paracas|Cañete–Pisco|Ica & Paracas,0.047|0.060|0.060|0.060|0.090
KH0228,Unknown,218,6,1,Central Coast,0.504,Central Coast|Cañete–Pisco|Central Coast|Chachapoyas|Ica & Paracas,0.449|0.637|0.720|0.901|1.146
KH0229,Unknown,143,1,0,Ica & Paracas,0.511,Ica & Paracas|Ica & Paracas|Chachapoyas|Central Coast|Cañete–Pisco,0.375|0.542|0.605|0.731|0.770
KH0230,Unknown,39,3,0,Central Coast,0.56,Ica & Paracas|Central Coast|Central Coast|Ica & Paracas|Central Coast,0.729|0.980|1.001|1.010|1.014
KH0231,Unknown,68,4,0,Ica & Paracas,0.387,North Peru Coast|Ica & Paracas|Ica & Paracas|Central Coast|Central Coast,0.400|0.641|0.807|1.015|1.050
KH0232,Unknown,100,8,0,Central Coast,1.0,Central Coast|Central Coast|Central Coast|Central Coast|Central Coast,1.453|1.594|1.796|1.816|1.820
KH0233,Unknown,36,1,0,Ica & Paracas,0.598,Nazca & Far South|Ica & Paracas|Ica & Paracas|Chachapoyas|Ica & Paracas,0.159|0.179|0.190|0.384|0.418
