kfg_id,parent_name,parent_val,children_sum,n_children,n_nonzero_children,n_zero_children,children_mean,children_max,ratio,compliance_class
KH0022,p29,8,0,1,0,1,0.0,0,0.0,children_all_zero
KH0022,p3,8,2,1,1,0,2.0,2,0.25,sub
KH0022,p30,8,0,1,0,1,0.0,0,0.0,children_all_zero
KH0022,p31,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0022,p32,3,2,1,1,0,2.0,2,0.6666666666666666,partial_sub
KH0022,p33,8,2,1,1,0,2.0,2,0.25,sub
KH0022,p4,3,3,1,1,0,3.0,3,1.0,compliant
KH0022,p5,4,2,1,1,0,2.0,2,0.5,partial_sub
KH0022,p6,9,2,2,1,1,1.0,2,0.2222222222222222,sub
KH0024,p3,10,3,1,1,0,3.0,3,0.3,sub
KH0026,p1,110,0,13,0,13,0.0,0,0.0,children_all_zero
KH0027,p10,5,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p15,10,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p16,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p17,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p23,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p28,13,6,2,2,0,3.0,4,0.46153846153846156,sub
KH0027,p3,8,5,1,1,0,5.0,5,0.625,partial_sub
KH0027,p32,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0027,p33,4,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p34,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0027,p35,1,1,1,1,0,1.0,1,1.0,compliant
KH0027,p4,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p40,0,1,1,1,0,1.0,1,,trivial_parent_zero
KH0027,p41,4,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p47,0,2,2,2,0,1.0,1,,trivial_parent_zero
KH0027,p49,0,5,1,1,0,5.0,5,,trivial_parent_zero
KH0027,p5,1,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p50,12,6,1,1,0,6.0,6,0.5,partial_sub
KH0027,p7,2,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p8,6,0,1,0,1,0.0,0,0.0,children_all_zero
KH0027,p9,0,0,1,0,1,0.0,0,,trivial_parent_zero
KH0028,p1,24,4,2,2,0,2.0,2,0.16666666666666666,sub
KH0028,p10,12,2,2,2,0,1.0,1,0.16666666666666666,sub
KH0028,p100,3,0,1,0,1,0.0,0,0.0,children_all_zero
KH0028,p101,4,1,1,1,0,1.0,1,0.25,sub
KH0028,p102,3,2,2,2,0,1.0,1,0.6666666666666666,partial_sub
KH0028,p103,3,0,2,0,2,0.0,0,0.0,children_all_zero
KH0028,p12,9,1,1,1,0,1.0,1,0.1111111111111111,sub
KH0028,p12s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p13,9,1,1,1,0,1.0,1,0.1111111111111111,sub
KH0028,p13s1,1,1,1,1,0,1.0,1,1.0,compliant
KH0028,p14,4,10,1,1,0,10.0,10,2.5,supra
KH0028,p15,9,1,1,1,0,1.0,1,0.1111111111111111,sub
