khipu_id,kfg_pp,kfg_ip,kfg_cp,kfg_sp,kfg_gg,kfg_gsb,kfg_is,kfg_psn,kfg_adg,kfg_any,kcat_pp,kcat_ip,kcat_cp,kcat_sp,kcat_gg,kcat_gsb,kcat_is,kcat_psn,kcat_adg,kcat_any,_merge
KH0267,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,both
KH0268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,both
KH0269,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1,both
KH0270,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
KH0271,1,1,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0272,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,both
KH0273,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,both
KH0274,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,1,0,0,0,1,both
KH0275,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,both
KH0276,1,0,1,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,both
KH0277,0,0,1,0,1,0,0,0,0,1,1,1,1,0,1,0,0,0,0,1,both
KH0278,1,1,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0,1,0,1,both
KH0279,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,0,1,0,1,1,both
KH0280,1,1,0,0,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,1,both
KH0281,1,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,1,both
KH0282,1,1,0,0,1,1,0,0,1,1,1,1,1,0,1,1,0,0,1,1,both
KH0283,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,both
KH0284,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,both
