color_code,n_entries,pct_entries,n_khipus,pct_khipus
W(0.0-26.0)/W,2,0.0026226756537019065,2,0.2820874471086037
DB(0.0-2.0)/W(2.0-44.0),2,0.0026226756537019065,1,0.14104372355430184
0G(5.0-7.0)/W(7.0-34.0),2,0.0026226756537019065,1,0.14104372355430184
YB-GL,2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.0)/W(2.0-43.0),2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-2.0)/W(2.0-41.0),2,0.0026226756537019065,1,0.14104372355430184
BB(0.0-4.0)/B(4.0-53.5),2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-2.0)/W(2.0-39.5),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.0)/W(2.0-37.0),2,0.0026226756537019065,1,0.14104372355430184
BB(0.0-4.0)/B(4.0-59.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.0)/W(2.0-32.0),2,0.0026226756537019065,1,0.14104372355430184
DB(0.0-2.0)/W(2.0-30.5),2,0.0026226756537019065,2,0.2820874471086037
BB(0.0-4.5)/W(4.5-40.5),2,0.0026226756537019065,1,0.14104372355430184
GG-HB,2,0.0026226756537019065,1,0.14104372355430184
LG-AB,2,0.0026226756537019065,2,0.2820874471086037
AB(0.0-11.0)/W(11.0-44.0),2,0.0026226756537019065,1,0.14104372355430184
LG-GG,2,0.0026226756537019065,1,0.14104372355430184
W(0.0-31.0)/MB,2,0.0026226756537019065,1,0.14104372355430184
W(0.0-30.0)/W,2,0.0026226756537019065,1,0.14104372355430184
YB(0.0-7.5)/W(7.5-44.0),2,0.0026226756537019065,2,0.2820874471086037
MB(0.0-0.0)/AB,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-13.5)/W,2,0.0026226756537019065,2,0.2820874471086037
W(0.0-14.5)/W,2,0.0026226756537019065,2,0.2820874471086037
PK-RL,2,0.0026226756537019065,1,0.14104372355430184
KB(0.0-0.0),2,0.0026226756537019065,1,0.14104372355430184
YB-LK,2,0.0026226756537019065,1,0.14104372355430184
HB-RB,2,0.0026226756537019065,2,0.2820874471086037
GR(5.0-7.0)/W(7.0-36.5),2,0.0026226756537019065,1,0.14104372355430184
