cord_id,kfg_id,cord_name,hierarchy_level,value_num,primary_color,is_banded,attachment,twist,beh_label,typology_label
309,KH0002,p12,0,3,MB,False,U,U,B4,T1
310,KH0002,p12s1,1,2,YB,False,U,U,B4,T1
311,KH0002,p12s2,1,1,YY,False,U,U,B4,T1
312,KH0002,p13,0,11,MB,False,U,U,B4,T1
313,KH0002,p14,0,93,MB,False,T,U,B4,T1
314,KH0003,p1,0,20,YB,False,U,U,B5,T1
315,KH0003,p1s1,1,1,KB,False,U,U,B5,T1
316,KH0003,p2,0,8,YB,False,U,U,B5,T1
317,KH0003,p3,0,10,YB,False,U,U,B5,T1
318,KH0003,p3s1,1,1,YB,False,U,U,B5,T1
319,KH0003,p3s2,1,5,YB,False,U,U,B5,T1
320,KH0003,p3s3,1,2,YB,False,U,U,B5,T1
321,KH0003,p4,0,50,KB,False,U,U,B5,T1
322,KH0003,p5,0,16,KB,False,U,U,B5,T1
323,KH0003,p6,0,13,KB,False,U,U,B5,T1
324,KH0003,p7,0,117,YB,True,T,U,B5,T1
325,KH0003,p7s1,1,2,YB,False,T,U,B5,T1
326,KH0003,p7s2,1,2,KB,False,T,U,B5,T1
327,KH0003,p7s3,1,0,YB,False,T,U,B5,T1
328,KH0003,p7s4,1,0,KB,False,T,U,B5,T1
329,KH0004,p1,0,4,W,True,U,S,B5,T1
330,KH0004,p2,0,10,W,True,U,S,B5,T1
331,KH0004,p2s1,1,37,W,True,U,S,B5,T1
332,KH0004,p3,0,7,W,True,U,S,B5,T1
333,KH0004,p4,0,14,W,True,U,S,B5,T1
334,KH0004,p5,0,6,W,True,U,S,B5,T1
335,KH0004,p6,0,4,W,True,U,S,B5,T1
336,KH0004,p7,0,76,W,True,T,S,B5,T1
337,KH0004,p7s1,1,6,W,True,T,S,B5,T1
338,KH0005,p1,0,10,W,True,U,U,B3,T1
339,KH0005,p2,0,20,W,True,U,U,B3,T1
340,KH0005,p3,0,40,W,True,U,U,B3,T1
341,KH0005,p3s1,1,20,MB,False,U,U,B3,T1
342,KH0005,p4,0,172,W,True,U,U,B3,T1
343,KH0005,p4s1,1,30,MB,False,U,U,B3,T1
344,KH0005,p5,0,50,W,True,U,U,B3,T1
345,KH0005,p6,0,20,MB,False,U,U,B3,T1
346,KH0005,p6s1,1,1,MB,False,U,U,B3,T1
347,KH0005,p7,0,312,MB,False,T,U,B3,T1
348,KH0005,p8,0,101,MB,False,U,U,B3,T1
349,KH0005,p9,0,521,MB,False,U,U,B3,T1
350,KH0005,p10,0,601,MB,False,U,U,B3,T1
351,KH0005,p11,0,100,MB,False,U,U,B3,T1
352,KH0005,p12,0,100,MB,False,U,U,B3,T1
353,KH0005,p13,0,510,MB,False,U,U,B3,T1
354,KH0005,p14,0,101,MB,False,U,U,B3,T1
355,KH0005,p15,0,500,MB,False,U,U,B3,T1
356,KH0005,p16,0,412,MB,False,U,U,B3,T1
357,KH0005,p17,0,932,W,True,U,U,B3,T1
358,KH0005,p18,0,101,W,True,U,U,B3,T1
359,KH0005,p19,0,82,W,True,U,U,B3,T1
360,KH0006,p1,0,11,MB,False,U,U,B2,T1
361,KH0006,p1s1,1,20,MB,False,U,U,B2,T1
362,KH0006,p2,0,12,YB,False,R,S,B2,T1
363,KH0006,p2s1,1,5,MB,False,U,U,B2,T1
364,KH0006,p2s2,1,1,MB,False,U,U,B2,T1
365,KH0006,p3,0,1,KB,False,U,U,B2,T1
366,KH0006,p4,0,6,KB,False,U,U,B2,T1
367,KH0006,p4s1,1,3,YY,False,U,U,B2,T1
368,KH0006,p4s2,1,3,W,False,U,S,B2,T1
369,KH0006,p5,0,2,KB,False,U,S,B2,T1
370,KH0006,p6,0,1,KB,False,U,S,B2,T1
371,KH0006,p7,0,1,W,True,U,U,B2,T1
372,KH0006,p8,0,7,W,True,U,U,B2,T1
373,KH0006,p8s1,1,1,W,False,U,S,B2,T1
374,KH0006,p9,0,1,W,True,U,U,B2,T1
375,KH0006,p10,0,0,W,True,U,U,B2,T1
376,KH0006,p10s1,1,1,YY,False,U,U,B2,T1
377,KH0006,p10s2,1,1,YY,False,U,U,B2,T1
378,KH0006,p11,0,1,KB(0.0-10.0)/W(10.0-30.0),False,U,U,B2,T1
379,KH0006,p12,0,8,KB(0.0-12.0)/W(12.0-30.0),False,U,U,B2,T1
380,KH0006,p12s1,1,2,MB,False,U,U,B2,T1
381,KH0006,p12s2,1,1,W,False,U,U,B2,T1
382,KH0006,p13,0,3,KB,False,U,U,B2,T1
383,KH0006,p14,0,3,KB,False,U,U,B2,T1
384,KH0006,p15,0,0,W,False,U,S,B2,T1
385,KH0006,p16,0,4,W,True,U,U,B2,T1
386,KH0006,p16s1,1,5,MB,False,U,U,B2,T1
387,KH0006,p17,0,1,W,True,U,U,B2,T1
388,KH0006,p18,0,0,W,True,U,U,B2,T1
389,KH0006,p18s1,1,1,YY,False,U,U,B2,T1
390,KH0006,p19,0,0,W,True,U,U,B2,T1
391,KH0006,p19s1,1,1,MB,False,U,U,B2,T1
392,KH0006,p20,0,2,W,True,U,U,B2,T1
393,KH0006,p20s1,1,6,MB,False,U,S,B2,T1
394,KH0006,p21,0,2,W,True,U,U,B2,T1
395,KH0006,p22,0,0,MB,False,U,U,B2,T1
396,KH0006,p23,0,0,W,False,U,S,B2,T1
397,KH0006,p24,0,10,W,True,U,U,B2,T1
398,KH0006,p24s1,1,5,MB,False,U,S,B2,T1
399,KH0006,p25,0,1,W,True,U,U,B2,T1
400,KH0006,p26,0,2,MB,False,U,U,B2,T1
401,KH0006,p26s1,1,1,YY,False,U,U,B2,T1
402,KH0006,p27,0,1,W,True,U,S,B2,T1
403,KH0006,p28,0,8,W,True,U,S,B2,T1
404,KH0006,p28s1,1,5,MB,False,U,U,B2,T1
405,KH0006,p29,0,1,YB,False,U,S,B2,T1
406,KH0006,p30,0,1,W,True,U,S,B2,T1
407,KH0006,p31,0,5,W,True,U,S,B2,T1
408,KH0006,p31s1,1,2,MB,False,U,S,B2,T1
409,KH0006,p31s2,1,1,YY,False,U,U,B2,T1
410,KH0006,p32,0,0,W,False,U,S,B2,T1
411,KH0006,p33,0,0,W,True,U,U,B2,T1
412,KH0006,p34,0,11,W,True,U,U,B2,T1
413,KH0006,p35,0,2,W,True,U,U,B2,T1
414,KH0006,p36,0,3,W,True,U,U,B2,T1
