kfg_id,typology_label,geo_zone,provenance_display,beh_cluster,beh_label,value_register,pct_nonzero,pct_round5,entropy_per_cord,max_hier_level,knot_L_ratio,knot_E_ratio,has_pp,has_ip,has_cp,has_sp,has_gg,has_gsb,has_is,has_psn,has_adg
KH0669,T1,,Unknown,2,B3,15.0,0.625,0.3,0.20609640474436816,1,0.3548387096774194,0.0967741935483871,1,0,1,0,0,0,0,0,1
KH0670,T1,,Unknown,1,B2,2.0,0.5921052631578947,0.044444444444444446,0.01316708172878156,0,0.5109489051094891,0.4744525547445255,0,1,0,0,0,1,0,0,1
KH0671,T1,,Unknown,2,B3,53.0,1.0,0.0,0.0,0,0.6666666666666666,0.1111111111111111,0,0,0,0,0,0,0,0,0
KH0672,T1,Nazca & Far South,South Peru,5,B6,242.0,0.675,0.2222222222222222,0.17610694452457293,1,0.3150684931506849,0.0273972602739726,0,0,0,0,0,0,0,0,0
KH0673,T1,Nazca & Far South,South Peru,2,B3,3.0,0.6385542168674698,0.16981132075471697,0.0596951291613366,1,0.5967741935483871,0.25806451612903225,1,0,0,0,0,0,0,1,0
KH0674,T2,,Unknown,3,B4,11.5,0.7351524879614767,0.4585152838427948,0.01056125908269847,4,0.4431438127090301,0.02508361204013378,1,1,1,1,1,1,1,1,0
KH0675,T2,,Unknown,3,B4,50.0,0.7157894736842105,0.4852941176470588,0.030248847571907135,2,0.2765957446808511,0.05319148936170213,1,0,1,1,0,0,0,1,1
KH0676,T2,Central Coast,Ancon (prob.),3,B4,413.0,0.9927536231884058,0.0948905109489051,0.04953250081855339,4,0.45023696682464454,0.2156398104265403,1,0,0,1,0,0,0,0,0
KH0677,T1,Central Coast,Huacho (?),3,B4,12.0,0.685064935064935,0.6919431279620853,0.020371796522570578,2,0.2177121771217712,0.04428044280442804,1,1,1,1,1,1,0,1,1
KH0678,T1,,Gaffron Estate,5,B6,34.0,0.8095238095238095,0.5098039215686274,0.09786190116815947,1,0.34782608695652173,0.010869565217391304,1,1,1,0,0,0,0,0,0
KH0679,T1,,Gaffron Estate,5,B6,37.5,0.36363636363636365,0.625,0.21875,1,0.2571428571428571,0.02857142857142857,1,0,0,0,0,0,0,0,0
KH0680,T1,,Unknown (non-Gaffron),5,B6,23.0,0.68,0.6078431372549019,0.07739856713717219,1,0.2916666666666667,0.027777777777777776,1,1,1,1,0,0,0,0,1
