khipu_id,deviation_type,numeric_deviation,structural_deviation,chromatic_deviation,deviation_count,anomaly_score,is_anomaly,n_colors,color_entropy
1000030,none,False,False,False,0,-0.3455460257823115,False,3,1.3141506217154515
1000031,none,False,False,False,0,-0.3657502743395727,False,3,1.0529815746974607
1000032,none,False,False,False,0,-0.3854462735580098,False,7,2.165301427810292
1000033,none,False,False,False,0,-0.3483499887228318,False,2,0.9998484826405668
1000034,chromatic,False,False,True,1,-0.365403474884179,False,7,2.1842676884407974
1000035,none,False,False,False,0,-0.3478526123380748,False,3,1.577863485388384
1000036,none,False,False,False,0,-0.3585005593864196,False,2,0.9587118826885929
1000037,none,False,False,False,0,-0.3457929998210285,False,3,1.0086232673436542
1000038,structural,False,True,False,1,-0.443129361998506,False,2,0.9999999997114609
1000039,structural,False,True,False,1,-0.383665531641352,False,7,2.193968270371305
1000040,none,False,False,False,0,-0.364436804442918,False,4,1.7505709327424903
1000041,structural,False,True,False,1,-0.3901782302623849,False,3,1.2039262882073782
1000042,none,False,False,False,0,-0.3612408541707445,False,5,1.8609028726090342
1000043,chromatic,False,False,True,1,-0.3548159433437904,False,5,2.280950925503252
1000044,none,False,False,False,0,-0.3506770962940282,False,6,2.3014649429716925
1000045,none,False,False,False,0,-0.4533428038856161,False,5,0.5410392619164647
1000046,none,False,False,False,0,-0.3504774020182323,False,2,0.7024665510018513
1000047,none,False,False,False,0,-0.3649540493573576,False,4,1.8086822241235399
1000048,hybrid,True,True,False,2,-0.5170880880101824,False,2,0.26676498751448696
1000049,none,False,False,False,0,-0.3493080468698754,False,3,1.4029342377625806
1000050,none,False,False,False,0,-0.3534484716166597,False,5,2.0977561818087636
1000051,structural,False,True,False,1,-0.3584491600458046,False,4,1.6358275839608771
1000052,none,False,False,False,0,-0.3580539515520881,False,3,1.3766699529644835
1000053,structural,False,True,False,1,-0.5533798136236123,False,4,1.0242580617018746
1000054,none,False,False,False,0,-0.356268198253269,False,1,0.0
1000055,none,False,False,False,0,-0.374125373442516,False,4,1.4083445435804325
1000056,structural,False,True,False,1,-0.4139311171706003,False,4,0.9191427127445202
1000057,structural,False,True,False,1,-0.4569832039786458,False,3,0.8883085721377996
1000058,none,False,False,False,0,-0.3525013653416332,False,3,1.279974913471349
1000059,none,False,False,False,0,-0.3604191109844536,False,3,1.4772170010296741
1000060,none,False,False,False,0,-0.3656100267155566,False,3,1.492614067584317
1000061,structural,False,True,False,1,-0.4345928441016446,False,4,1.9056390616524883
1000062,structural,False,True,False,1,-0.4310128941231121,False,3,1.4056390617967578
1000063,none,False,False,False,0,-0.504757507887867,False,7,2.492947949145936
1000064,structural,False,True,False,1,-0.3577335073433869,False,4,1.8489879885004497
1000065,structural,False,True,False,1,-0.45788358226638,False,3,1.4897648377496333
1000066,none,False,False,False,0,-0.3975310643718094,False,1,0.0
